501225,-27.62%
017730,-27.98%
513100,-30.03%
161126,-28.28%
513300,-30.60%
018078,-37.33%
000834,-30.11%
020515,-28.57%
159941,-30.43%
513000,-31.19%
206011,-43.70%
486002,-28.69%
018523,-37.68%
513220,-36.17%
513730,-29.27%
006105,-36.30%
040046,-31.24%
270042,-31.18%
501312,-30.08%
160213,-31.34%
018432,-39.00%
486001,-30.40%
159502,-32.92%
016664,-30.39%
015204,-32.65%
007721,-31.07%
050025,-31.17%
015282,-39.84%
004999,-36.23%
164824,-38.78%
004998,-32.54%
013308,-39.99%
159688,-40.32%
000614,-34.03%
513500,-32.95%
161125,-32.93%
162415,-33.90%
241001,-58.71%
008707,-33.79%
001092,-35.21%
006445,-34.22%
070031,-41.24%
006555,-34.38%
004877,-41.01%
006373,-34.53%
159822,-61.10%
118002,-35.04%
006282,-34.83%
011583,-38.63%
862001,-66.61%
513380,-43.39%
080006,-55.21%
001984,-66.78%
002891,-66.11%
539003,-36.03%
000179,-41.37%
513890,-44.41%
159750,-45.15%
262001,-48.28%
161124,-53.05%
014438,-45.27%
096001,-37.47%
160140,-41.72%
050015,-59.81%
002423,-38.48%
161815,-38.68%
161620,-50.35%
008763,-41.60%
012584,-43.45%
006308,-55.14%
005613,-41.98%
539002,-39.89%
011420,-41.68%
513120,-49.11%
001668,-42.04%
159607,-46.57%
513030,-41.44%
012208,-52.86%
378546,-40.54%
161116,-41.28%
377016,-41.80%
100061,-43.68%
012379,-55.38%
501021,-54.12%
159605,-47.28%
378006,-41.32%
000049,-42.72%
040021,-42.92%
000041,-50.79%
017429,-47.88%
014424,-49.60%
016970,-49.61%
040018,-44.66%
009108,-44.04%
000988,-46.59%
007455,-45.88%
161229,-48.22%
519601,-62.14%
513280,-50.72%
159615,-51.22%
460010,-68.12%
164705,-46.31%
012979,-50.88%
160924,-46.77%
000071,-46.41%
013171,-56.32%
005699,-52.44%
013127,-51.79%
070012,-60.91%
159920,-47.44%
013402,-52.44%
110031,-53.02%
050020,-45.95%
000934,-46.64%
008253,-51.56%
161831,-57.62%
457001,-48.52%
012804,-53.78%
000989,-52.19%
513330,-73.34%
160717,-54.74%
100055,-46.94%
161127,-60.00%
012348,-57.84%
118001,-57.06%
159850,-53.66%
513360,-71.16%
159747,-63.64%
510900,-55.09%
003243,-60.62%
160644,-52.26%
159740,-63.10%
513130,-63.29%
010644,-57.84%
513580,-62.86%
159741,-63.07%
005534,-61.75%
159742,-63.16%
513060,-73.81%
513180,-63.53%
160416,-51.63%
009225,-53.38%
513010,-62.87%
164906,-74.38%
008284,-69.42%
002379,-59.15%
005698,-54.28%
270023,-54.40%
160125,-56.70%
006327,-71.34%
159892,-62.39%
513050,-73.37%
012535,-61.38%
001691,-61.27%
162719,-65.70%
163208,-63.73%
470888,-69.29%
165513,-64.30%
160723,-74.40%
161129,-76.54%
501018,-76.49%
162411,-77.77%
001481,-78.69%
160216,-75.61%
