2026-05-15,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,003629,2016-12-19,摩根全球多元配置(QDII-FOF)(003629),0.00%,-21.58%,21.58%,0.00%
QDII,022525,2024-11-01,天弘纳斯达克100指数发起（QDII）D,0.00%,-21.61%,21.61%,0.00%
QDII,021000,2024-03-20,南方纳斯达克100指数发起（QDII）I,0.00%,-21.67%,21.67%,0.00%
QDII,016452,2022-11-29,南方纳斯达克100指数发起（QDII）(016452),0.00%,-21.68%,21.68%,0.00%
QDII,019710,2023-11-07,广发道琼斯石油指数（QDII-LOF）E,-10.17%,-29.66%,21.69%,11.33%
QDII,019547,2023-12-01,招商纳斯达克100ETF发起式联接（QDII）(019547),0.00%,-21.76%,21.76%,0.00%
QDII,018966,2023-08-02,汇添富纳斯达克100ETF发起式联接（QDII）(018966),0.00%,-21.80%,21.80%,0.00%
QDII,021773,2024-07-04,汇添富纳斯达克100ETF发起式联接（QDII）人民币E,0.00%,-21.82%,21.82%,0.00%
QDII,015299,2022-04-14,华夏纳斯达克100ETF发起式联接（QDII）(015299),0.00%,-21.88%,21.88%,0.00%
QDII,206011,2011-11-25,鹏华美国房地产（QDII）(206011),-13.96%,-32.83%,21.92%,16.23%
QDII,016532,2022-09-15,嘉实纳斯达克100ETF发起联接（QDII）(016532),0.00%,-21.94%,21.94%,0.00%
QDII,021838,2024-07-19,嘉实纳斯达克100ETF发起联接（QDII）人民币I,0.00%,-21.95%,21.95%,0.00%
QDII,513530,2022-04-08,华泰柏瑞中证港股通高股息投资ETF(QDII)(513530),-3.84%,-25.06%,22.07%,3.99%
QDII,164824,2018-06-15,印度基金LOF(164824),-21.42%,-38.78%,22.09%,27.26%
QDII,513380,2022-04-27,广发恒生科技（QDII-ETF）(513380),-27.30%,-43.39%,22.13%,37.55%
QDII,019174,2023-09-27,摩根纳斯达克100指数(QDII)美元A,0.00%,-22.14%,22.14%,0.00%
QDII,011706,2021-07-01,长信标普100等权重指数（QDII）美元份额,0.00%,-22.14%,22.14%,0.00%
QDII,159659,2023-04-12,招商纳斯达克100ETF（QDII）(159659),0.00%,-22.36%,22.36%,0.00%
QDII,159513,2023-07-12,大成纳斯达克100ETF（QDII）(159513),0.00%,-22.44%,22.44%,0.00%
QDII,159696,2023-08-17,易方达纳斯达克100ETF（QDII）(159696),0.00%,-22.51%,22.51%,0.00%
QDII,159660,2023-03-30,汇添富纳斯达克100ETF(159660),0.00%,-22.52%,22.52%,0.00%
QDII,021778,2024-08-14,广发纳指100ETF联接（QDII）F,0.00%,-22.55%,22.55%,0.00%
QDII,513870,2023-10-25,富国纳斯达克100ETF（QDII）(513870),0.00%,-22.55%,22.55%,0.00%
QDII,513110,2023-03-01,华泰柏瑞纳斯达克100ETF(QDII)(513110),0.00%,-22.56%,22.56%,0.00%
QDII,159501,2023-05-31,嘉实纳斯达克100ETF（QDII）(159501),0.00%,-22.59%,22.59%,0.00%
QDII,513390,2023-04-19,博时纳斯达克100ETF(513390),0.00%,-22.64%,22.64%,0.00%
QDII,000103,2013-04-26,国泰中国企业境外高收益债券（QDII）(000103),-46.65%,-58.73%,22.65%,87.43%
QDII,159632,2022-07-21,华安纳斯达克100ETF（QDII）(159632),0.00%,-22.67%,22.67%,0.00%
QDII,164212,2023-06-06,天弘全球新能源汽车股票（QDII-LOF）(164212),-0.62%,-23.32%,22.84%,0.62%
QDII,013404,2021-09-03,大成标普500等权重指数(QDII)A美元,-0.49%,-23.31%,22.93%,0.49%
QDII,159823,2020-09-24,嘉实H股50ETF（QDII）,-39.42%,-53.37%,23.02%,65.07%
