930697,家用电器,-42.54%
930641,中证中药,-42.37%
931052,国信价值,-42.03%
399550,央视50,-41.83%
931591,1000成长创新,-41.39%
H30015,800汽车,-41.31%
930939,500质量,-41.09%
919,300价值,-40.77%
29,180价值,-40.69%
HSHYLV,恒生港股通高股息低波动指数,-40.61%
821,300红利,-40.47%
698,科创100,-40.42%
925,基本面50,-40.16%
931402,证券先锋,-39.88%
H30089,红利潜力,-39.18%
H30199,电力指数,-38.50%
930782,500SNLV,-37.10%
399986,中证银行,-37.08%
932000,中证2000,-36.40%
399019,创业200,-36.18%
931375,300质量低波,-35.07%
931468,红利质量,-34.53%
859,国企一带一路,-34.37%
950096,上海国企,-42.47%
H50040,上红低波,-30.36%
930955,红利低波100,-28.63%
931588,1000价值稳健,-26.51%
860,结构调整,-26.49%
931587,500价值稳健,-26.16%
HSCSOE,恒生中国央企指数,-25.23%
931235,中证电信,-25.03%
861,央企创新,-24.64%
930740,300红利LV,-22.67%
932039,央企股东回报,-22.03%
399850,深证50,-16.67%
931446,东证红利低波,-15.34%
930050,中证A50,-13.30%
