2024/10/25,stockCode,publishDate,stockName,style,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,funds
港股,HSTECH,2020/7/1,恒生科技指数,成长,-58.54%,-74.40%,-38.25%,"天弘恒生科技指数A(012348), 天弘恒生科技指数C(012349), 广发恒生科技ETF联接（QDII）A(012804), 华夏恒生科技ETF发起式联接（QDII）A(013402), 博时恒生科技ETF发起式联接（QDII）A(014438), 易方达恒生科技ETF（QDII）(513010), 恒生科技(513130), 华夏恒生科技ETF（QDII）(513180), 汇添富恒生科技ETF(513260), 华安恒生科技ETF(513580), 摩根恒生科技ETF(QDII)(513890), 大成恒生科技ETF（QDII）(159740), 嘉实恒生科技ETF（QDII）(159741), 博时恒生科技ETF（QDII）(159742)"
A股,913,2007/7/2,300医药,成长,-58.38%,-66.44%,-19.37%,"易方达沪深300医药ETF联接A(001344), 易方达沪深300医药ETF联接C(007883), 易方达沪深300医药ETF(512010)"
A股,941,2009/10/28,新能源,成长,-57.72%,-69.53%,-27.93%,"华安中证内地新能源主题ETF发起式联接A(014303), 华安中证内地新能源主题ETF发起式联接C(014304), 申万菱信中证内地新能源主题ETF发起式联接A(016225), 申万菱信中证内地新能源主题ETF发起式联接C(016226), 华安中证内地新能源主题ETF(516270), 申万菱信中证内地新能源主题ETF(159752)"
A股,H30178,2013/7/15,医疗保健,成长,-57.35%,-67.19%,-23.07%,"南方中证全指医疗保健设备与服务ETF发起联接A(019452), 南方中证全指医疗保健设备与服务ETF发起联接C(019453), 中欧中证全指医疗保健设备与服务指数发起A(021714), 中欧中证全指医疗保健设备与服务指数发起C(021715), 医服ETF(516610), 保健ETF(516790), 天弘中证全指医疗保健设备与服务ETF(159873), 南方中证全指医疗保健设备与服务ETF(159877), 建信中证全指医疗保健设备与服务ETF(159891)"
A股,931573,2014/5/21,HKC科技,成长,-57.26%,-73.34%,-37.62%,"国泰中证港股通科技ETF发起联接A(015739), 国泰中证港股通科技ETF发起联接C(015740), 景顺长城中证港股通科技ETF联接A(016495), 景顺长城中证港股通科技ETF联接C(016496), 鹏华中证港股通科技ETF发起式联接A(021294), 鹏华中证港股通科技ETF发起式联接C(021295), 海富通中证港股通科技ETF发起联接A(021464), 海富通中证港股通科技ETF发起联接C(021465), 国泰中证港股通科技ETF(513020), 港科技50(513150), 兴银中证港股通科技ETF(513560), 海富通中证港股通科技ETF(513860), 景顺长城中证港股通科技ETF(513980), 港股科技ETF(159751)"
A股,399808,2015/2/10,中证新能,成长,-56.96%,-68.89%,-27.72%,"天弘中证新能源指数增强A(012328), 天弘中证新能源指数增强C(012329), 南方中证新能源ETF联接A(012831), 南方中证新能源ETF联接C(012832), 东财中证新能源指数增强A(014237), 东财中证新能源指数增强C(014238), 华夏中证新能源ETF发起式联接A(017571), 华夏中证新能源ETF发起式联接C(017572), 易方达中证新能源ETF联接发起式A(019315), 易方达中证新能源ETF联接发起式C(019316), 博时中证新能源ETF发起式联接A(019855), 博时中证新能源ETF发起式联接C(019856), 易方达中证新能源ETF(516090), 南方中证新能源ETF(516160), 博时新能源ETF(516580), 华夏中证新能源ETF(516850), 嘉实中证新能源ETF(159875)"
A股,931719,2013/7/15,CS电池,成长,-56.94%,-69.49%,-29.15%,"汇添富中证电池主题ETF发起式联接A(012862), 汇添富中证电池主题ETF发起式联接C(012863), 汇添富中证电池主题ETF发起式联接D(015808), 大成中证电池主题指数发起式A(015997), 大成中证电池主题指数发起式C(015998), 招商中证电池主题ETF联接A(016019), 招商中证电池主题ETF联接C(016020), 嘉实中证电池主题ETF发起联接A(016566), 嘉实中证电池主题ETF发起联接C(016567), 富国中证电池主题ETF发起式联接A(017222), 富国中证电池主题ETF发起式联接C(017223), 南方中证电池主题指数发起A(018926), 南方中证电池主题指数发起C(018927), 富国中证电池主题ETF(561160), 招商中证电池主题ETF(561910), 嘉实中证电池主题ETF(562880), 汇添富中证电池主题ETF(159796)"
A股,399812,2014/6/6,养老产业,成长,-56.71%,-65.09%,-19.36%,"广发养老指数A(000968), 广发养老指数C(002982), 华宝养老ETF(516560)"
A股,930632,2015/5/12,CS稀金属,周期,-55.92%,-66.21%,-23.34%,"华宝中证稀有金属指数增强发起A(013942), 华宝中证稀有金属指数增强发起C(013943), 嘉实中证稀有金属主题ETF发起联接A(014110), 嘉实中证稀有金属主题ETF发起联接C(014111), 工银中证稀有金属主题ETF发起式联接A(019087), 工银中证稀有金属主题ETF发起式联接C(019088), 广发中证稀有金属ETF发起式联接A(019874), 广发中证稀有金属ETF发起式联接C(019875), 华富中证稀有金属主题ETF(561800), 嘉实中证稀有金属主题ETF(562800), 广发中证稀有金属ETF(159608), 稀有金属ETF基金(159671)"
A股,399394,2012/10/29,国证医药,成长,-55.77%,-64.50%,-19.74%,"国泰国证医药卫生行业指数C(010144), 国泰国证医药卫生行业指数A(160219)"
A股,930707,2015/7/13,中证畜牧,周期,-55.74%,-63.56%,-17.67%,"国泰中证畜牧养殖ETF联接A(012724), 国泰中证畜牧养殖ETF联接C(012725), 招商中证畜牧养殖ETF联接A(014414), 招商中证畜牧养殖ETF联接C(014415), 招商中证畜牧养殖ETF(516670), 平安中证畜牧养殖ETF(516760), 国泰中证畜牧养殖ETF(159865), 畜牧ETF(159867)"
A股,931140,2019/3/20,医药50,成长,-55.54%,-64.44%,-20.02%,"富国中证医药50ETF联接A(012801), 富国中证医药50ETF联接C(012802), 华泰紫金中证医药50指数发起A(015497), 华泰紫金中证医药50指数发起C(015498), 富国中证医药50ETF(515950), 博时医药50ETF(159838)"
A股,931409,2020/2/20,SHS创新药,成长,-55.49%,-65.66%,-22.85%,"国泰中证沪港深创新药产业ETF发起联接A(014117), 国泰中证沪港深创新药产业ETF发起联接C(014118), 东财中证沪港深创新药指数发起式A(014128), 东财中证沪港深创新药指数发起式C(014129), 天弘恒生沪深港创新药精选50ETF发起联接A(014564), 天弘恒生沪深港创新药精选50ETF发起联接C(014565), 富国中证沪港深创新药产业ETF发起式联接A(019897), 富国中证沪港深创新药产业ETF发起式联接C(019898), 国泰中证沪港深创新药产业ETF(517110), 创新药50(517120), 创新药ETF沪港深(159622), 富国中证沪港深创新药产业ETF(159748)"
A股,399976,2014/11/28,CS新能车,成长,-55.24%,-67.84%,-28.15%,"国泰中证新能源汽车ETF联接A(009067), 国泰中证新能源汽车ETF联接C(009068), 东财中证新能源车ETF发起式联接A(010805), 东财中证新能源车ETF发起式联接C(010806), 天弘中证新能源车A(011512), 天弘中证新能源车C(011513), 嘉实中证新能源汽车指数A(012543), 嘉实中证新能源汽车指数C(012544), 华夏中证新能源汽车ETF发起式联接A(013013), 华夏中证新能源汽车ETF发起式联接C(013014), 富国中证新能源汽车指数C(013048), 招商中证新能源汽车指数A(013195), 招商中证新能源汽车指数C(013196), 华安中证新能源汽车ETF发起式联接A(013319), 华安中证新能源汽车ETF发起式联接C(013320), 博时中证新能源汽车ETF发起式联接A(019090), 博时中证新能源汽车ETF发起式联接C(019091), 华夏中证新能源汽车ETF(515030), 华安中证新能源汽车ETF(516660), 新能源车龙头ETF(159637), 国泰中证新能源汽车ETF(159806), 博时新能源汽车ETF(159824), 富国中证新能源汽车指数A(161028)"
A股,931152,2019/4/22,CS创新药,成长,-55.22%,-64.09%,-19.81%,"广发创新药ETF联接A(012737), 广发创新药ETF联接C(012738), 银华中证创新药产业ETF发起式联接A(012781), 银华中证创新药产业ETF发起式联接C(012782), 工银中证创新药产业ETF发起式联接A(013011), 工银中证创新药产业ETF发起式联接C(013012), 易方达中证创新药产业ETF联接发起式A(019666), 易方达中证创新药产业ETF联接发起式C(019667), 南方中证创新药产业ETF发起联接A(021097), 南方中证创新药产业ETF发起联接C(021098), 广发创新药ETF(515120), 创新药产业ETF(516060), 易方达中证创新药产业ETF(516080), 摩根中证创新药产业ETF(560900), 建信中证创新药产业ETF(159835), 南方中证创新药产业ETF(159858), 创新药(159992)"
A股,930601,2015/3/10,中证软件,成长,-55.05%,-71.63%,-36.89%,"嘉实中证软件服务ETF联接A(012619), 嘉实中证软件服务ETF联接C(012620), 万家中证软件服务ETF发起式联接A(018182), 万家中证软件服务ETF发起式联接C(018183), 易方达中证软件服务ETF联接发起式A(019061), 易方达中证软件服务ETF联接发起式C(019062), 博时中证软件服务指数发起式A(019503), 博时中证软件服务指数发起式C(019504), 天弘中证软件服务指数发起A(021535), 天弘中证软件服务指数发起C(021536), 万家中证软件服务ETF(560360), 易方达中证软件服务ETF(562930), 嘉实中证软件服务ETF(159852)"
A股,930997,2017/7/19,新能源车,成长,-54.77%,-67.51%,-28.17%,"平安中证新能车ETF联接A(012698), 平安中证新能源汽车ETF发起联接C(012699), 汇添富中证新能源汽车产业指数（LOF）A(501057), 汇添富中证新能源汽车产业指数（LOF）C(501058), 平安中证新能源汽车产业ETF(515700), 汇添富中证新能源汽车产业ETF(516390)"
A股,H30533,2014/12/29,中国互联网50,成长,-54.77%,-73.99%,-42.49%,"易方达中证海外中国互联网50ETF联接（QDII）A(006327), 易方达中证海外中国互联网50ETF联接（QDII）C(006328), 易方达中证海外中国互联网50（QDII-ETF）(513050)"
