2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,000977,2011-01-20,内地低碳,成长,,-38.26%,-51.71%,21.78%,61.97%,1.8e+01,0.70%,5.10%,3.1,61.78%,37.94%,17.22%,0.95,1.78%,"鹏华中证内地低碳经济主题ETF联接A(012754), 鹏华中证内地低碳经济主题ETF联接C(012755), 易方达中证内地低碳经济主题ETF联接A(013502), 华夏中证内地低碳经济主题ETF发起式联接A(013605), 华夏中证内地低碳经济主题ETF发起式联接C(013606), 易方达中证内地低碳经济主题ETF(516070), 碳中和TK(560560), 低碳ETF(562300), 华夏中证内地低碳经济主题ETF(159790), 低碳ETF(159885)"
A股,000300,2005-04-07,沪深300,宽基,,-31.76%,-46.70%,21.89%,46.54%,1.2e+01,39.37%,33.33%,1.4,20.36%,14.27%,11.67%,0.97,3.10%,"华夏沪深300ETF联接A(000051), 华泰柏瑞量化增强混合A(000172), 嘉实沪深300指数研究增强A(000176), 景顺长城沪深300指数增强A(000311), 华安沪深300增强A(000312), 华安沪深300增强C(000313), 国泰沪深300指数增强A(000512), 国寿安保沪深300ETF联接(000613), 前海开源沪深300指数A(000656), 天弘沪深300ETF联接A(000961), 华夏沪深300指数增强A(001015), 华夏沪深300指数增强C(001016), 国泰沪深300指数增强C(002063), 创金合信沪深300增强A(002310), 创金合信沪深300增强C(002315), 博时沪深300指数C(002385), 万家沪深300指数增强A(002670), 万家沪深300指数增强C(002671), 广发沪深300ETF联接C(002987), 中金沪深300A(003015), 前海联合沪深300(003475), 泰达宏利沪深300C(003548), 中金沪深300C(003579), 华宝沪深300增强A(003876), 汇安沪深300增强A(003884), 汇安沪深300增强C(003885), 安信量化沪深300增强A(003957), 安信量化沪深300增强C(003958), 招商沪深300指数增强A(004190), 招商沪深300指数增强C(004191), 南方沪深300ETF联接C(004342), 海富通沪深300增强C(004512), 海富通沪深300增强A(004513), 富荣沪深300指数增强A(004788), 富荣沪深300指数增强C(004789), 工银沪深300ETF联接A(005102), 工银沪深300ETF联接C(005103), 平安沪深300指数量化增强A(005113), 平安沪深300指数量化增强C(005114), 长信沪深300指数A(005137), 农银沪深300指数C(005152), 新华沪深300指数增强A(005248), 汇添富沪深300指数增强A(005530), 平安300ETF联接A(005639), 平安300ETF联接C(005640), 华夏沪深300ETF联接C(005658), 财通沪深300指数增强(005850), 国泰沪深300指数C(005867), 鹏华沪深300指数增强A(005870), 天弘沪深300ETF联接C(005918), 广发沪深300指数增强A(006020), 广发沪深300指数增强C(006021), 华泰柏瑞沪深300ETF联接C(006131), 人保沪深300(006600), 长城久泰沪深300指数C(006912), 工银沪深300指数C(006937), 鹏华沪深300指数C类(LOF)(006939), 前海联合沪深300C(007039), 博道沪深300增强A(007044), 博道沪深300增强C(007045), 大成沪深300指数C(007096), 国投瑞银沪深300指数量化增强A(007143), 国投瑞银沪深300指数量化增强C(007144), 兴全沪深300指数C(007230), 银河沪深300指数增强A(007275), 银河沪深300指数增强C(007276), 易方达沪深300ETF发起式联接C(007339), 华宝沪深300增强C(007404), 长信沪深300指数C(007448), 永赢沪深300A(007538), 永赢沪深300C(007539), 申万菱信沪深300指数增强C(007804), 新华沪深300指数增强C(008184), 中泰沪深300指数增强A(008238), 中泰沪深300指数增强C(008239), 民生加银沪深300ETF联接A(008291), 民生加银沪深300ETF联接C(008292), 国联安沪深300ETF联接A(008390), 国联安沪深300ETF联接C(008391), 天弘沪深300指数增强A(008592), 天弘沪深300指数增强C(008593), 华安沪深300ETF联接A(008776), 华安沪深300ETF联接C(008777), 泰康沪深300ETF联接A(008926), 泰康沪深300ETF联接C(008927), 南方沪深300指数增强A(009059), 南方沪深300指数增强C(009060), 建信沪深300指数增强C(009208), 华泰柏瑞量化增强混合C(010234), 诺安沪深300增强C(010352), 汇添富沪深300指数增强C(010556), 易方达沪深300精选增强A(010736), 易方达沪深300精选增强C(010737), 汇添富沪深300基本面增强指数型证券投资基金A(010854), 汇添富沪深300基本面增强指数型证券投资基金C(010855), 博时沪深300指数增强A(010872), 博时沪深300指数增强C(010873), 大成沪深300增强发起式A(010908), 大成沪深300增强发起式C(010909), 长江沪深300指数增强A(011545), 长江沪深300指数增强C(011546), 中泰沪深300量化优选增强A(012206), 中泰沪深300量化优选增强C(012207), 同泰沪深300量化增强A(012911), 同泰沪深300量化增强C(012912), 中信保诚沪深300指数（LOF）C(013120), 富国沪深300指数增强C(013291), 浙商沪深300指数增强(LOF)C(014372), 中信建投沪深300指数增强A(015061), 东财沪深300指数发起式A(015278), 中欧沪深300指数增强A(015387), 兴业沪深300ETF发起式联接A(015906), 申万菱信沪深300优选指数增强发起式A(016103), 东方沪深300指数增强A(016204), 华泰紫金沪深300指数增强发起A(016867), 摩根沪深300指数增强发起式A(017445), 国泰沪深300指数A(020011), 博时沪深300指数A(050002), 富国沪深300指数增强A/B(100038), 易方达沪深300ETF发起式联接A(110020), 易方达沪深300量化增强(110030), 嘉实沪深300ETF联接(LOF)C(160724), 泰达宏利沪深300A(162213), 建信沪深300指数增强（LOF）A(165310), 东吴沪深300指数A(165806), 浙商沪深300指数增强(LOF)A(166802), 国金300指数增强A(167601), 长城久泰沪深300指数A(200002), 南方沪深300ETF联接A(202015), 广发沪深300ETF联接A(270010), 申万菱信沪深300指数增强(310318), 诺安沪深300增强A(320014), 国富沪深300指数增强(450008), 华泰柏瑞沪深300ETF联接A(460300), 工银沪深300指数A(481009), 浦银安盛沪深300指数增强(519116), 大成沪深300指数A(519300), 农银沪深300指数A(660008), 西部利得沪深300指数A(673100), 西部利得沪深300指数C(673101), 汇添富沪深300指数（LOF）A(501043), 汇添富沪深300指数（LOF）C(501045), 华泰柏瑞沪深300ETF(510300), 易方达沪深300ETF发起式(510310), 华夏沪深300ETF(510330), 工银沪深300ETF(510350), 广发沪深300ETF(510360), 兴业沪深300ETF(510370), 国寿安保沪深300ETF(510380), 平安沪深300ETF(510390), 博时沪深300ETF(515130), 添富沪深300ETF(515310), 天弘300(515330), 民生加银沪深300ETF(515350), 方正富邦沪深300ETF(515360), 泰康300(515380), 华安沪深300ETF(515390), 国联安沪深300ETF(515660), 永赢沪深300ETF(515930), 华安沪深300增强策略ETF(561000), 国泰沪深300增强策略ETF(561300), 招商沪深300增强策略ETF(561990), 嘉实沪深300ETF(159919), 南方沪深300ETF(159925), 鹏华沪深300指数A类(LOF)(160615), 嘉实沪深300ETF联接(LOF)A(160706), 长盛沪深300指数（LOF）(160807), 银华沪深300指数(161811), 兴全沪深300指数（LOF）A(163407), 建信沪深300指数（LOF）(165309), 中信保诚沪深300指数（LOF）A(165515)"
A股,931165,2019-04-24,新兴科技100,成长,,-29.55%,-45.20%,22.21%,41.94%,2.8e+01,35.19%,39.40%,4.8,30.72%,21.96%,17.14%,0.61,1.04%,"嘉实新兴科技100ETF联接A(007815), 嘉实新兴科技100ETF联接C(007816), 嘉实新兴科技100ETF(515860)"
A股,931052,2017-12-07,国信价值,价值,,-12.36%,-31.89%,22.28%,14.10%,5.9,4.03%,9.39%,0.92,24.78%,20.49%,15.59%,2.6,6.46%,"富国中证价值ETF联接A(006748), 富国中证价值ETF联接C(007191), 富国中证价值ETF(512040)"
A股,H30007,2012-12-19,芯片产业,成长,,-36.41%,-50.68%,22.44%,57.26%,7e+01,72.05%,65.34%,4.9,63.73%,60.33%,7.00%,0.1,0.18%,"天弘中证芯片指数A(012552), 天弘中证芯片指数C(012553), 东财中证芯片指数发起式A(013445), 东财中证芯片指数发起式C(013446), 汇添富中证芯片产业指数增强发起式A(014193), 汇添富中证芯片产业指数增强发起式C(014194), 富国中证芯片产业ETF发起式联接A(014776), 富国中证芯片产业ETF发起式联接C(014777), 嘉实中证芯片产业指数发起式A(015336), 易方达中证芯片产业ETF(516350), 富国中证芯片产业ETF(516640), 汇添富中证芯片产业ETF(516920)"
A股,000969,2010-05-27,300非周,成长,,-36.63%,-50.97%,22.63%,57.80%,2.2e+01,46.26%,37.59%,2.8,44.17%,35.30%,12.73%,0.57,1.85%,长安沪深300非周期指数A(740101)
港股,HSSCHKY,2019-10-31,恒生港股通高股息率指数,价值,,-44.06%,-56.74%,22.67%,78.76%,5.3,40.92%,25.68%,0.52,25.00%,18.43%,9.81%,1.9,7.59%,"博时恒生高股息ETF发起式联接A(014519), 博时恒生高股息ETF发起式联接C(014520), 博时恒生高股息ETF(513690)"
A股,399987,2014-12-09,中证酒,成长,,-28.61%,-44.91%,22.83%,40.08%,3.2e+01,48.40%,41.18%,7.4,60.19%,57.09%,23.12%,0.73,2.18%,"鹏华酒C(012043), 酒ETF(512690), 鹏华酒A(160632)"
A股,930632,2015-05-11,CS稀金属,周期,,-44.46%,-57.18%,22.90%,80.05%,1.1e+01,1.62%,5.40%,3.0,23.23%,22.48%,27.27%,2.4,1.49%,"华宝中证稀有金属指数增强发起A(013942), 华宝中证稀有金属指数增强发起C(013943), 嘉实中证稀有金属主题ETF发起联接A(014110), 嘉实中证稀有金属主题ETF发起联接C(014111), 华富中证稀有金属主题ETF(561800), 嘉实中证稀有金属主题ETF(562800), 广发中证稀有金属ETF(159608), 稀有金属ETF基金(159671)"
A股,930955,2017-05-25,红利低波100,价值,,-7.28%,-28.63%,23.03%,7.85%,6.3,28.65%,18.94%,0.65,14.32%,11.43%,10.32%,1.6,5.22%,"天弘中证红利低波动100A(008114), 天弘中证红利低波动100C(008115), 景顺长城中证红利低波动100ETF联接A(016128), 景顺长城中证红利低波动100ETF (515100)"
A股,931087,2019-03-19,科技龙头,成长,,-34.27%,-49.45%,23.09%,52.14%,4.3e+01,61.01%,48.42%,4.5,7.76%,23.13%,10.47%,0.24,0.55%,"华宝科技ETF联接A(007873), 华宝科技ETF联接C(007874), 工银科技龙头ETF发起式联接A(012882), 工银科技龙头ETF发起式联接C(012883), 华宝中证科技龙头ETF(515000), 科技龙头ETF(516050)"
A股,000018,2007-12-09,180金融,价值,,-27.33%,-44.15%,23.15%,37.61%,6.2,22.66%,16.42%,0.69,8.87%,14.40%,11.13%,1.8,4.86%,"国泰上证180金融ETF联接C(014994), 国泰上证180金融ETF联接A(020021), 国泰上证180金融ETF(510230)"
A股,931008,2013-07-14,汽车指数,成长,,-29.80%,-46.17%,23.32%,42.45%,3.2e+01,53.07%,62.02%,2.3,63.93%,47.92%,7.19%,0.23,1.24%,"广发中证全指汽车指数A(004854), 广发中证全指汽车指数C(004855)"
A股,399440,2014-12-29,国证钢铁,周期,,-47.25%,-59.57%,23.36%,89.57%,4.1e+01,72.03%,85.88%,0.9,4.66%,8.85%,2.20%,0.054,2.59%,"鹏华国证钢铁行业指数(LOF)C(012810), 鹏华国证钢铁行业指数(LOF)A(502023), 中融钢铁A(168203)"
港股,HSMCHYI,2019-08-31,恒生中国内地企业高股息率指数,价值,,-42.89%,-56.41%,23.67%,75.10%,5.5,45.93%,31.23%,0.59,20.88%,22.01%,10.73%,2.0,7.01%,华夏恒生中国内地企业高股息率ETF(159726)
A股,930850,2016-07-19,智能制造,成长,,-22.40%,-41.37%,24.45%,28.87%,4e+01,46.43%,41.69%,4.1,38.66%,32.10%,10.25%,0.26,0.78%,"华宝中证智能制造主题ETF发起式联接A(013447), 华宝中证智能制造主题ETF发起式联接C(013448), 智能制造ETF(516800)"
A股,399437,2014-12-29,证券龙头,价值,,-32.60%,-49.16%,24.57%,48.37%,1.8e+01,25.91%,41.62%,1.3,13.18%,18.27%,7.22%,0.41,1.65%,"宝盈国证证券龙头指数发起式A(015859), 龙头券商(159993)"
港股,HSSCNE,2018-01-07,恒生港股通新经济指数,成长,,-53.10%,-64.74%,24.82%,113.22%,2.5e+01,47.12%,36.29%,2.9,54.89%,38.24%,11.60%,0.47,0.97%,嘉实港股通新经济指数(LOF)A(501311)
A股,399007,2009-11-03,深证300,宽基,,-32.84%,-49.52%,24.84%,48.90%,2.3e+01,31.10%,32.27%,2.7,31.14%,27.72%,11.74%,0.52,1.46%,"大摩深证300指数增强(233010), 汇添富深证300ETF联接A(470068), 平安深证300指数增强(700002), 汇添富深证300ETF(159912)"
A股,931357,2019-11-14,优选消费50,成长,,-40.19%,-55.12%,24.96%,67.20%,2.5e+01,9.36%,15.42%,4.4,10.24%,24.21%,17.60%,0.69,1.51%,"中金中证沪港深优选消费50A(008519), 中金中证沪港深优选消费50C(008520)"
A股,931186,2019-05-29,中证科技,成长,,-18.05%,-38.54%,25.00%,22.03%,3.1e+01,6.20%,9.41%,4.0,12.91%,18.60%,12.90%,0.41,0.85%,"富国中证科技50策略ETF联接A(008749), 富国中证科技50策略ETF联接C(008750), 富国中证科技50策略ETF(515750)"
A股,000919,2008-01-20,300价值,价值,,-21.02%,-40.77%,25.01%,26.61%,7.4,30.38%,19.06%,0.83,9.52%,16.24%,11.22%,1.5,4.93%,"申万菱信沪深300价值指数C(007800), 银河沪深300价值指数C(013074), 申万菱信沪深300价值指数(310398), 银河沪深300价值指数A(519671), 300价值A(562320)"
A股,930708,2015-07-12,中证有色,周期,,-35.80%,-51.89%,25.06%,55.76%,1.5e+01,2.13%,5.57%,2.3,28.36%,26.94%,15.33%,1.0,1.66%,"东财有色增强A(011630), 东财有色增强C(011631), 国泰中证有色金属ETF发起联接A(013218), 国泰中证有色金属ETF发起联接C(013219), 财通资管中证有色金属指数发起式A(013437), 财通资管中证有色金属指数发起式C(013438), 华宝中证有色金属ETF发起式联接A(017140), 有色金属(159871), 有色(159876), 国泰中证有色金属ETF(159881)"
A股,399285,2020-02-17,物联网50,成长,,-18.30%,-38.79%,25.08%,22.40%,3.7e+01,64.84%,39.92%,4.0,30.23%,19.13%,10.81%,0.3,1.12%,物联网ETF工银(159709)
A股,000063,2010-02-02,上证周期,价值,,-24.78%,-44.15%,25.75%,32.94%,6.8,19.50%,18.98%,0.8,9.65%,16.96%,11.76%,1.7,5.56%,"海富通上证周期ETF联接(519027), 海富通上证周期ETF(510110)"
A股,000987,2011-08-01,全指材料,周期,,-38.03%,-53.99%,25.75%,61.37%,1.6e+01,18.97%,27.91%,1.8,26.44%,19.17%,11.25%,0.68,2.08%,广发中证全指原材料ETF(159944)
A股,931591,2020-11-08,1000成长创新,成长,,-9.77%,-33.28%,26.06%,10.83%,3.9e+01,96.52%,46.66%,3.4,20.85%,16.73%,8.72%,0.23,1.00%,华夏中证智选1000成长创新策略ETF(562520)
A股,931404,2020-02-19,SHS品牌消费50,成长,,-39.66%,-55.70%,26.58%,65.73%,2.2e+01,20.55%,26.04%,5.4,14.25%,25.60%,24.55%,1.1,1.71%,品牌消费(517880)
港股,HSI,1989-03-08,恒生指数,宽基,,-35.53%,-52.75%,26.71%,55.11%,9.7,40.44%,29.77%,1.0,16.12%,25.66%,10.31%,1.1,3.80%,"华夏恒生ETF联接A(000071), 华夏沪港通恒生ETF联接A(000948), 南方恒生指数ETF联接C(005659), 南方恒生指数ETF联接（LOF）A(501302), 南方恒生指数ETF(513600), 华夏沪港通恒生ETF(513660), 华夏恒生ETF(159920), 汇添富恒生指数(QDII-LOF) A(164705)"
A股,000048,2009-08-04,责任指数,价值,,-22.73%,-43.55%,26.94%,29.42%,9.0,16.95%,21.06%,1.1,4.68%,12.66%,12.22%,1.4,4.08%,"建信上证社会责任ETF联接(530010), 建信上证社会责任ETF(510090)"
A股,399809,2015-02-12,保险主题,价值,,-29.30%,-48.43%,27.06%,41.44%,6.7,10.16%,18.70%,0.77,9.87%,16.99%,11.49%,1.7,4.82%,方正富邦中证保险A(167301)
A股,930931,2017-01-15,港股通50,价值,,-36.49%,-53.72%,27.13%,57.46%,9.3,27.42%,29.69%,0.98,13.58%,24.24%,10.54%,1.1,4.02%,"港股通50ETF联接A(012151), 港股通50ETF联接C(012152), 国泰中证港股通50ETF发起联接A(014689), 港股通50(513550), 华夏中证港股通50ETF(159711), 国泰中证港股通50ETF(159712)"
A股,399005,2006-01-23,中小板指,成长,,-31.26%,-50.00%,27.26%,45.48%,2.2e+01,5.25%,14.05%,3.1,6.93%,18.29%,14.09%,0.65,1.37%,"申万菱信中小企业100指数(LOF)C(007799), 易方达中小企业100指数（LOF）C(012872), 华富中小企业100指数增强(410010), 华夏中小板ETF(159902), 易方达中小企业100指数（LOF）A(161118), 申万菱信中小企业100指数(LOF)A(163111)"
A股,000010,2002-06-30,上证180,宽基,,-28.34%,-47.98%,27.41%,39.55%,1e+01,30.75%,28.78%,1.2,11.54%,14.00%,12.00%,1.2,3.89%,"华安上证180ETF联接A(040180), 万家180指数(519180), 华安上证180ETF(510180)"
港股,HSCEI,1994-08-07,恒生中国企业指数,价值,,-44.12%,-59.61%,27.72%,78.95%,8.3,46.37%,32.60%,0.92,16.12%,24.37%,11.08%,1.3,4.14%,"易方达恒生国企联接（QDII）C(005675), 易方达恒生国企联接（QDII）A(110031), 易方达恒生国企(QDII-ETF)(510900), 平安恒生中国企业ETF(159960), 银华恒生国企指数（QDII-LOF）(161831)"
A股,930709,2015-07-12,香港证券,价值,,-33.81%,-52.19%,27.77%,51.08%,1.5e+01,85.39%,57.84%,0.74,7.51%,25.22%,4.93%,0.33,3.06%,易方达中证香港证券投资主题ETF(513090)
港股,HSML25,2003-01-19,恒生中国(香港上市)25指数,价值,,-37.78%,-55.10%,27.84%,60.72%,8.3,31.75%,29.79%,0.97,12.02%,22.79%,11.69%,1.4,4.37%,华宝香港大盘C(006355)
A股,H30199,2013-07-14,电力指数,价值,,-14.48%,-38.50%,28.09%,16.93%,2.8e+01,86.63%,68.78%,1.8,74.17%,33.54%,6.43%,0.23,2.07%,"广发中证全指电力ETF发起式联接A(016185), 博时中证全指电力ETF发起式联接A(017481), 电力ETF(561560), 博时中证全指电力公用事业ETF(561700), 电力(562350), 广发中证全指电力ETF(159611)"
A股,930712,2015-07-30,CS物联网,成长,,-24.13%,-45.46%,28.11%,31.80%,3.5e+01,48.56%,36.43%,4.0,32.95%,31.90%,11.43%,0.33,1.10%,"华夏中证物联网主题ETF(516260), 物联网(516330), 招商中证物联网主题ETF(159701), 易方达中证物联网主题ETF(159895), 南方中证物联网主题ETF(159896)"
A股,931573,2014-05-20,HKC科技,成长,,-57.81%,-69.87%,28.58%,137.02%,3.3e+01,16.88%,28.78%,3.3,24.68%,30.37%,10.00%,0.3,0.58%,"国泰中证港股通科技ETF发起联接A(015739), 景顺长城中证港股通科技ETF联接A(016495), 国泰中证港股通科技ETF(513020), 港科技50(513150), 兴银中证港股通科技ETF(513560), 海富通中证港股通科技ETF(513860), 景顺长城中证港股通科技ETF (513980), 港股科技ETF(159751)"
A股,000827,2012-09-24,中证环保,成长,,-37.68%,-55.69%,28.90%,60.46%,1.9e+01,2.34%,11.91%,2.9,48.23%,38.76%,15.26%,0.8,1.63%,"广发中证环保ETF联接A(001064), 广发中证环保ETF联接C(002984), 申万菱信中证环保产业指数(LOF)C(010419), 鹏华中证环保产业指数(LOF)A(160634), 新华中证环保产业指数(164304), 广发中证环保ETF(512580), 申万菱信中证环保产业指数(LOF)A(163114)"
A股,399966,2012-12-20,800证保,价值,,-36.26%,-54.70%,28.93%,56.89%,1.5e+01,28.61%,27.40%,1.3,7.80%,15.85%,8.67%,0.57,2.23%,"保险证券(515630), 鹏华中证800证券保险指数(LOF)A(160625)"
A股,000029,2009-01-08,180价值,价值,,-16.40%,-40.69%,29.06%,19.62%,7.0,32.59%,18.51%,0.8,13.30%,17.14%,11.43%,1.6,5.40%,"华宝上证180价值ETF联接(240016), 上证180价值ETF(510030)"
A股,399001,1995-01-22,深证成指,成长,,-29.17%,-49.82%,29.15%,41.18%,2.4e+01,34.76%,46.62%,2.6,31.14%,30.21%,10.83%,0.45,1.42%,"南方深证成份ETF联接C(004345), 融通深证成份指数C(004875), 融通深证成份指数A/B(161612), 南方深证成份ETF联接A(202017), 南方深证成份ETF(159903), 深证ETF(159943), 申万菱信深证成份指数A(163109)"
港股,HSHYLV,2017-05-07,恒生港股通高股息低波动指数,价值,,-16.00%,-40.61%,29.30%,19.05%,5.1,30.26%,29.58%,0.5,25.61%,23.73%,9.80%,1.9,7.42%,"恒生前海港股通高股息低波动指数(005702), 富国恒生港股通高股息低波动ETF（QDII）(513950)"
A股,000979,2011-08-21,大宗商品,周期,,-31.94%,-52.09%,29.61%,46.93%,1.1e+01,2.55%,8.12%,1.4,52.09%,21.38%,12.73%,1.2,4.31%,招商中证商品指数基金(161715)
A股,000819,2012-05-08,有色金属,周期,,-38.36%,-56.73%,29.80%,62.23%,1.3e+01,0.90%,4.12%,2.4,31.65%,23.94%,18.46%,1.4,1.85%,"南方中证申万有色金属ETF发起联接A(004432), 南方中证申万有色金属ETF发起联接C(004433), 南方中证申万有色金属ETF发起联接E(010990), 南方中证申万有色金属ETF(512400)"
A股,931574,2013-05-20,港股科技,成长,,-62.70%,-73.88%,29.97%,168.10%,3.1e+01,4.21%,15.94%,2.8,27.23%,33.05%,9.03%,0.29,0.51%,"南方中证香港科技ETF（QDII）(159747), 招商中证香港科技ETF（QDII）(159750)"
A股,930782,2016-02-03,500SNLV,价值,,-10.02%,-37.10%,30.10%,11.14%,1.9e+01,40.47%,29.58%,1.3,16.32%,18.30%,6.84%,0.37,2.25%,"景顺长城中证500行业中性低波动指数(003318), 华安中证500低波ETF(512260)"
A股,931406,2020-02-19,5G 50,成长,,-27.85%,-49.57%,30.10%,38.60%,2.2e+01,30.32%,31.27%,2.1,29.08%,28.65%,9.55%,0.43,2.45%,"博时5G50ETF联接A(012655), 博时5G50ETF联接C(012658), 博时5G50ETF(159811)"
A股,000906,2007-01-14,中证800,宽基,,-26.64%,-48.98%,30.45%,36.31%,1.3e+01,38.30%,31.31%,1.4,17.98%,12.18%,10.77%,0.81,2.81%,"天弘中证800A(001588), 天弘中证800C(001589), 易方达中证800ETF联接发起式A(007856), 易方达中证800ETF联接发起式C(007857), 湘财长源股票型A(008128), 湘财长源股票型C(008129), 兴全中证800六个月持有指数A(010673), 兴全中证800六个月持有指数C(010674), 汇添富中证800ETF联接基金A(012596), 汇添富中证800ETF联接基金C(012597), 民生加银中证800指数增强发起式A(013031), 民生加银中证800指数增强发起式C(013032), 中银中证800指数型发起式A(014226), 中银中证800指数型发起式C(014227), 招商中证800指数增强A(016276), 华夏中证800指数增强(017985), 添富中证800ETF(515800), 易方达中证800ETF(515810), 长盛同庆中证800指数(LOF)(160806)"
A股,930633,2015-05-07,中证旅游,成长,,-21.69%,-45.65%,30.60%,27.70%,-1e+01,99.14%,259.13%,3.1,81.36%,46.40%,-31.00%,,0.17%,"华夏中证旅游主题ETF(562510), 富国中证旅游主题ETF(159766)"
A股,930821,2016-05-10,中证VR,成长,,-31.71%,-52.64%,30.65%,46.43%,5.5e+01,68.98%,67.65%,2.6,27.95%,21.96%,4.73%,0.086,0.78%,VRETF(159786)
A股,H30588,2015-02-01,中证证保,价值,,-35.58%,-55.48%,30.89%,55.23%,1.5e+01,34.77%,28.60%,1.3,9.43%,15.79%,8.67%,0.57,2.23%,"天弘中证证券保险A(001552), 天弘中证证券保险C(001553)"
A股,930721,2015-08-04,CS智汽车,成长,,-27.02%,-49.65%,31.01%,37.02%,5e+01,80.05%,44.65%,3.8,31.15%,30.93%,7.60%,0.15,0.64%,"天弘中证智能汽车A(010955), 天弘中证智能汽车C(010956), 富国中证智能汽车指数（LOF）C(013292), 富国中证智能汽车主题ETF(515250), 智能驾驶(516520), 汇添富中证智能汽车主题ETF(159795), 华夏中证智能汽车主题ETF(159888), 国泰中证智能汽车主题ETF(159889), 富国中证智能汽车指数（LOF）A(161033)"
A股,931637,2021-01-10,HKC互联网,成长,,-44.40%,-61.75%,31.21%,79.86%,3.1e+01,24.71%,30.35%,3.5,42.89%,35.74%,11.29%,0.36,0.42%,"富国中证港股通互联网ETF发起式联接A(014673), 华宝中证港股通互联网ETF发起式联接A(017125), 华宝中证港股通互联网ETF(513770), 富国中证港股通互联网ETF(159792)"
A股,H30184,2013-07-14,半导体,成长,,-38.99%,-58.05%,31.24%,63.91%,7.1e+01,48.34%,53.37%,5.1,68.67%,50.66%,7.18%,0.1,0.22%,"国联安中证全指半导体产品与设备ETF联接A(007300), 国联安中证全指半导体产品与设备ETF联接C(007301), 国联安半导体ETF(512480)"
A股,000821,2012-07-19,300红利,价值,,-13.33%,-40.47%,31.31%,15.38%,6.2,22.87%,19.25%,0.69,10.43%,17.24%,11.13%,1.8,5.50%,"建信沪深300红利ETF发起式联接A(012712), 建信沪深300红利ETF发起式联接C(012713), 建信沪深300红利ETF(512530)"
A股,930652,2015-06-04,CS电子,成长,,-30.81%,-52.62%,31.52%,44.53%,4.6e+01,62.59%,53.69%,3.7,51.48%,40.80%,8.04%,0.18,0.75%,"天弘中证电子ETF联接A(001617), 天弘中证电子ETF联接C(001618), 电子ETF(159997)"
A股,399291,2019-11-05,创精选88,成长,,-15.40%,-42.14%,31.61%,18.20%,5.9e+01,84.24%,44.55%,3.4,28.00%,26.99%,5.76%,0.097,0.75%,"国寿安保创精选88ETF联接A(008898), 国寿安保创精选88ETF联接C(008899), 国寿安保创精选88ETF(159804)"
A股,930598,2015-03-01,稀土产业,周期,,-37.11%,-57.28%,32.07%,59.01%,2.6e+01,9.35%,17.77%,2.2,26.47%,32.42%,8.46%,0.33,0.86%,"嘉实中证稀土产业ETF联接A(011035), 嘉实中证稀土产业ETF联接C(011036), 华泰柏瑞中证稀土产业ETF发起式联接A(014331), 华泰柏瑞中证稀土产业ETF发起式联接C(014332), 嘉实中证稀土产业ETF(516150), 稀土ETF(516780), 富国中证稀土产业ETF(159713), 易方达中证稀土产业ETF(159715)"
A股,931079,2019-04-24,5G通信,成长,,-29.46%,-52.18%,32.21%,41.76%,3.4e+01,41.75%,38.42%,3.7,45.13%,30.73%,10.88%,0.32,0.92%,"华夏中证5G通信主题ETF联接A(008086), 华夏中证5G通信主题ETF联接C(008087), 银华中证5G通信主题ETF联接A(008889), 银华中证5G通信主题ETF联接C(010524), 华夏中证5G通信主题ETF(515050), 5GETF(159994)"
A股,000989,2011-08-01,全指可选,成长,,-26.26%,-50.18%,32.44%,35.61%,2.3e+01,29.02%,36.46%,2.6,42.00%,35.93%,11.30%,0.48,1.89%,"广发可选消费联接A(001133), 广发可选消费联接C(002977), 广发中证全指可选消费ETF(159936)"
A股,399998,2015-02-12,中证煤炭,周期,,-27.48%,-51.11%,32.58%,37.89%,6.2,0.62%,3.73%,1.3,50.44%,35.34%,20.97%,3.4,9.17%,"国泰中证煤炭ETF联接A(008279), 国泰中证煤炭ETF联接C(008280), 富国中证煤炭指数C(013275), 国泰中证煤炭ETF(515223), 国泰中证煤炭ETF(515220), 富国中证煤炭指数A(161032), 中融煤炭A(168204)"
A股,000925,2009-02-25,基本面50,价值,,-11.19%,-40.16%,32.62%,12.60%,7.9,27.26%,23.06%,0.9,9.93%,18.99%,11.39%,1.4,4.74%,"嘉实基本面50指数(LOF)C(160725), 嘉实基本面50ETF(512750), 嘉实基本面50指数(LOF)A(160716)"
港股,HSIII,2020-07-19,恒生互联网科技业指数,成长,,-61.93%,-74.39%,32.73%,162.67%,2.6e+01,1.35%,14.83%,2.7,10.32%,37.39%,10.38%,0.41,0.48%,"华夏恒生互联网科技业ETF发起式联接（QDII）A(013171), 华夏恒生互联网科技业ETF发起式联接（QDII）C(013172), 华夏恒生互联网科技业ETF（QDII）(513330)"
