2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,000933,2009-07-02,中证医药,成长,,-44.64%,-49.64%,9.03%,80.64%,2.8e+01,7.35%,18.90%,3.7,7.22%,19.62%,13.21%,0.47,1.31%,"添富中证医药ETF联接A(007076), 添富中证医药ETF联接C(007077), 东财医药A(008551), 东财医药C(008552), 鹏华中证医药指数C（LOF）(010366), 长城中证医药卫生指数增强A(014205), 汇添富中证医药卫生ETF(159929), 鹏华中证医药指数A（LOF）(160635)"
A股,930726,2015-08-04,CS生医,成长,,-53.63%,-57.85%,9.10%,115.66%,3.2e+01,13.76%,23.66%,4.9,1.73%,6.19%,15.31%,0.48,1.11%,"国泰中证生物医药ETF联接A(006756), 国泰中证生物医药ETF联接C(006757), 国泰中证生物医药ETF(512290)"
A股,931719,2013-07-14,CS电池,成长,,-46.08%,-51.02%,9.16%,85.46%,2.6e+01,1.28%,8.47%,4.2,54.10%,53.37%,16.15%,0.62,0.77%,"汇添富中证电池主题ETF发起式联接A(012862), 汇添富中证电池主题ETF发起式联接C(012863), 大成中证电池主题指数发起式A(015997), 招商中证电池主题ETF联接A(016019), 嘉实中证电池主题ETF发起联接A(016566), 富国中证电池主题ETF发起式联接A(017222), 富国中证电池主题ETF(561160), 招商中证电池主题ETF(561910), 嘉实中证电池主题ETF(562880), 汇添富中证电池主题ETF(159796)"
A股,H11052,2009-07-21,智能电车,成长,,-39.54%,-45.18%,9.33%,65.40%,2.2e+01,1.07%,5.32%,4.3,65.27%,50.86%,19.55%,0.87,0.87%,"华宝中证智能电动汽车ETF发起式联接A(013475), 华宝中证智能电动汽车ETF发起式联接C(013476), 智能电动车ETF(516380), 易方达中证智能电动汽车ETF(516590), 浦银安盛中证智能电动汽车ETF(560000), 建信中证智能电动汽车ETF(159710), 泰康智能电车ETF(159720)"
A股,000069,2010-05-27,消费80,成长,,-41.44%,-46.97%,9.44%,70.77%,2.9e+01,69.38%,47.41%,4.0,69.95%,42.33%,13.79%,0.48,1.84%,"招商上证消费80ETF联接C(004407), 招商上证消费80ETF联接A(217017), 招商上证消费80ETF(510150)"
A股,399296,2019-01-22,创成长,成长,,-37.10%,-43.09%,9.52%,58.98%,3.7e+01,5.34%,20.41%,6.0,12.37%,13.58%,16.22%,0.43,0.70%,"华夏创业板动量成长ETF发起式联接A(007474), 华夏创业板动量成长ETF发起式联接C(007475), 华夏创成长ETF(159967)"
A股,931526,2020-08-23,企业核心竞争力50,成长,,-36.19%,-42.30%,9.58%,56.72%,2.1e+01,16.42%,10.70%,4.2,31.82%,17.14%,20.00%,0.95,1.62%,"核心50ETF(560650), 漂亮50(561500)"
港股,HSSSHID,2020-02-29,恒生沪深港创新药精选50指数,成长,,-45.08%,-50.51%,9.89%,82.08%,4.1e+01,38.61%,41.45%,3.0,3.60%,3.58%,7.32%,0.18,1.13%,创新药AH(517380)
A股,000841,2012-12-20,800医药,成长,,-44.21%,-49.92%,10.23%,79.24%,2.8e+01,8.83%,24.25%,3.5,8.70%,20.77%,12.50%,0.44,1.15%,"中信保诚中证800医药指数（LOF）C(013080), 中信保诚中证800医药指数（LOF）A(165519)"
A股,931140,2019-03-19,医药50,成长,,-46.29%,-51.79%,10.24%,86.19%,2.7e+01,18.91%,17.45%,5.0,15.71%,16.94%,18.52%,0.69,1.34%,"富国中证医药50ETF联接A(012801), 富国中证医药50ETF联接C(012802), 华泰紫金中证医药50指数发起A(015497), 富国中证医药50ETF(515950), 博时医药50ETF(159838)"
A股,930791,2016-03-21,CS医药TI,成长,,-39.49%,-45.94%,10.66%,65.26%,3.3e+01,31.91%,30.32%,3.5,9.77%,19.70%,10.61%,0.32,1.21%,"富国中证医药主题指数增强型（LOF）C(005626), 天弘中证医药指数增强A(012401), 天弘中证医药指数增强C(012402), 富国中证医药主题指数增强型（LOF）A(161035)"
A股,931590,2020-11-08,500成长创新,成长,,-24.15%,-32.26%,10.69%,31.84%,2.4e+01,79.11%,38.67%,2.8,44.08%,28.80%,11.67%,0.49,1.61%,华夏中证智选500成长创新策略ETF(159620)
A股,931380,2019-11-24,科技50,成长,,-40.37%,-46.78%,10.75%,67.70%,3.3e+01,17.01%,13.74%,4.6,10.07%,7.64%,13.94%,0.43,0.74%,"易方达中证科技50联接A(012717), 易方达中证科技50联接C(012718), 易方达中证科技50ETF(159807)"
A股,931409,2020-02-19,SHS创新药,成长,,-47.47%,-53.12%,10.76%,90.37%,4.3e+01,42.04%,28.37%,3.6,9.62%,13.01%,8.37%,0.2,1.05%,"国泰中证沪港深创新药产业ETF发起联接A(014117), 国泰中证沪港深创新药产业ETF发起联接C(014118), 东财中证沪港深创新药指数发起式A(014128), 东财中证沪港深创新药指数发起式C(014129), 天弘恒生沪深港创新药精选50ETF发起联接A(014564), 天弘恒生沪深港创新药精选50ETF发起联接C(014565), 国泰中证沪港深创新药产业ETF(517110), 创新药50(517120), 富国中证沪港深创新药产业ETF(159748)"
A股,931802,2010-02-08,中证龙头,平衡,,-42.90%,-49.27%,11.16%,75.13%,1.1e+01,23.48%,26.75%,1.6,60.71%,26.13%,14.55%,1.3,3.68%,易方达中证龙头企业指数A(012756)
A股,000903,2006-05-28,中证100,宽基,,-36.90%,-44.04%,11.32%,58.48%,1.3e+01,86.54%,47.96%,1.7,87.81%,37.77%,13.08%,0.99,3.23%,"南方中证100指数C(005691), 广发中证100ETF联接A(007135), 广发中证100ETF联接C(007136), 华宝中证100ETF联接C(007405), 宝盈中证100指数增强C(007580), 中银中证100ETF联接基金A(009479), 中银中证100ETF联接基金C(009480), 海富通中证100指数C(010224), 诺安中证100指数C(010351), 华夏中证100ETF发起式联接A(017862), 中银中证100指数增强(163808), 南方中证100指数A(202211), 宝盈中证100指数增强A(213010), 华宝中证100ETF联接A(240014), 诺安中证100指数A(320010), 华富中证100指数(410008), 长盛中证100指数(519100), 广发中证100ETF(512910), 中银100(515670), 富国中证100ETF(561180), 华宝中证100ETF(562000), 华夏中证100ETF(159627), 汇添富中证100ETF(159630), 招商中证100ETF(159631), 大成中证100ETF(159923), 海富通中证100指数A(162307), 国联安中证100指数（LOF）(162509), 国富中证100指数增强（LOF）(164508)"
A股,931775,2013-07-14,房地产,价值,,-43.47%,-49.88%,11.34%,76.90%,1.5e+02,98.01%,95.41%,0.86,1.32%,8.09%,0.57%,0.0038,1.98%,"南方中证房地产ETF发起联接A(004642), 南方中证房地产ETF发起联接C(004643), 华夏中证全指房地产ETF联接A(008088), 华夏中证全指房地产ETF联接C(008089), 南方中证房地产ETF发起联接E(010989), 南方中证全指房地产ETF(512200), 华夏中证全指房地产ETF(515060)"
