000903,中证100,宽基,"南方中证100指数C(005691), 广发中证100ETF联接A(007135), 广发中证100ETF联接C(007136), 华宝中证100ETF联接C(007405), 宝盈中证100指数增强C(007580), 中银中证100ETF联接基金A(009479), 中银中证100ETF联接基金C(009480), 海富通中证100指数C(010224), 诺安中证100指数C(010351), 华夏中证100ETF发起式联接(017862), 中银中证100指数增强(163808), 南方中证100指数A(202211), 宝盈中证100指数增强A(213010), 华宝中证100ETF联接A(240014), 诺安中证100指数A(320010), 华富中证100指数(410008), 长盛中证100指数(519100), 广发中证100ETF(512910), 中银100(515670), 富国中证100ETF(561180), 华宝中证100ETF(562000), 华夏中证100ETF(159627), 汇添富中证100ETF(159630), 招商中证100ETF(159631), 大成中证100ETF(159923), 海富通中证100指数A(162307), 国联安中证100指数（LOF）(162509), 国富中证100指数增强（LOF）(164508)"
000933,中证医药,成长,"添富中证医药ETF联接A(007076), 添富中证医药ETF联接C(007077), 东财医药A(008551), 东财医药C(008552), 鹏华中证医药指数C（LOF）(010366), 长城中证医药卫生指数增强A(014205), 汇添富中证医药卫生ETF(159929), 鹏华中证医药指数A（LOF）(160635)"
980017,国证芯片,成长,"华夏国证半导体芯片ETF联接A(008887), 华夏国证半导体芯片ETF联接C(008888), 广发国证半导体芯片ETF联接A(012629), 广发国证半导体芯片ETF联接C(012630), 鹏华国证半导体芯片ETF联接A(012969), 鹏华国证半导体芯片ETF联接C(012970), 半导体龙头ETF(159665), 广发国证半导体芯片ETF(159801), 芯片(159813), 华夏国证半导体芯片ETF(159995)"
931802,中证龙头,价值,易方达中证龙头企业指数A(012756)
931140,医药50,成长,"富国中证医药50ETF联接A(012801), 富国中证医药50ETF联接C(012802), 华泰紫金中证医药50指数发起A(015497), 富国中证医药50ETF(515950), 博时医药50ETF(159838)"
931524,SHS科技龙头,成长,"天弘中证沪港深科技龙头指数A(012559), 天弘中证沪港深科技龙头指数C(012560), 鹏华中证沪港深科技龙头指数(LOF)C(012809), 汇添富中证沪港深科技龙头指数发起式A(013093), 汇添富中证沪港深科技龙头指数发起式C(013094), 广发中证沪港深科技龙头ETF联接A(013162), 广发中证沪港深科技龙头ETF联接C(013163), 宝盈中证沪港深科技龙头指数发起式A(015820), 鹏华中证沪港深科技龙头指数(LOF)A(160646), 浦银安盛中证沪港深科技龙头ETF (517270), 广发中证沪港深科技龙头ETF(517350), 汇添富中证沪港深科技龙头ETF(159723)"
000841,800医药,成长,"中信保诚中证800医药指数（LOF）C(013080), 中信保诚中证800医药指数（LOF）A(165519)"
399330,深证100,宽基,"宝盈祥瑞混合A(000639), 招商深证100指数C(004408), 易方达深证100ETF联接C(004742), 方正富邦深证100ETF联接A(006687), 方正富邦深证100ETF联接C(006688), 招商深证100ETF联接A(008236), 招商深证100ETF联接C(008237), 广发深证100指数C(009472), 易方达深证100ETF联接A(110019), 融通深证100指数A/B(161604), 广发深证100指数（LOF）A(162714), 招商深证100指数A(217016), 建信深证100指数增强(530018), 深证100ETF华安(159706), 易方达深证100ETF(159901), 方正富邦深证100ETF(159961), 深100P(159969), 深100ETF工银(159970), 招商深证100ETF(159975), 国投瑞银深证100指数（LOF）(161227), 银华深证100指数(161812)"
931468,红利质量,价值,"华夏中证红利质量ETF发起式联接A(016440), 华夏中证红利质量ETF(159758)"
931151,光伏产业,成长,"天弘中证光伏A(011102), 天弘中证光伏C(011103), 招商中证光伏产业指数A(011966), 招商中证光伏产业指数C(011967), 广发中证光伏产业指数A(012364), 广发中证光伏产业指数C(012365), 华泰柏瑞光伏ETF联接A(012679), 华泰柏瑞光伏ETF联接C(012680), 平安中证光伏产业指数A(012722), 平安中证光伏产业指数C(012723), 华夏中证光伏产业指数发起式A(012885), 华夏中证光伏产业指数发起式C(012886), 银华中证光伏产业ETF发起式联接A(012928), 华安中证光伏产业ETF发起式联接A(013105), 华安中证光伏产业ETF发起式联接C(013106), 国泰中证光伏产业ETF发起联接A(013601), 国泰中证光伏产业ETF发起联接C(013602), 汇添富中证光伏产业指数增强发起式A(013816), 汇添富中证光伏产业指数增强发起式C(013817), 嘉实中证光伏产业指数发起式A(014604), 嘉实中证光伏产业指数发起式C(014605), 博时中证光伏产业指数A(015993), 浦银安盛中证光伏产业ETF联接A(017116), 光伏ETF(515790), 光伏产业(516180), 汇添富中证光伏产业ETF(516290), 光伏50(516880), 浦银安盛中证光伏产业ETF(159609), 华安中证光伏产业ETF(159618), 光伏ETF(159857), 光伏产业(159863), 国泰中证光伏产业ETF(159864)"
000932,中证消费,成长,"汇添富中证主要消费ETF联接A(000248), 嘉实中证主要消费ETF联接A(009179), 嘉实中证主要消费ETF联接C(009180), 汇添富中证主要消费ETF联接C(012857), 嘉实中证主要消费ETF(512600), 广发中证主要消费ETF(560680), 汇添富中证主要消费ETF(159928)"
000806,消费服务,成长,消服ETF(516600)
931403,品牌工程,成长,"农银中证新华社民族品牌指数(012394), 富国中证新华社民族品牌工程ETF联接A(014406), 富国中证新华社民族品牌工程ETF联接C(014407), 富国中证新华社民族品牌工程ETF(561130)"
930791,CS医药TI,成长,"富国中证医药主题指数增强型（LOF）C(005626), 天弘中证医药指数增强A(012401), 天弘中证医药指数增强C(012402), 富国中证医药主题指数增强型（LOF）A(161035)"
931476,ESG 120策略,价值,"英大中证ESG120策略指数A(012854), 浦银安盛中证ESG 120策略ETF(516720)"
931068,消费龙头,成长,"华宝消费龙头C(009329), 招商中证消费龙头指数增强A(011853), 招商中证消费龙头指数增强C(011854), 消费龙头LOF(501090), 消费龙头ETF(516130)"
931409,SHS创新药,成长,"国泰中证沪港深创新药产业ETF发起联接A(014117), 国泰中证沪港深创新药产业ETF发起联接C(014118), 东财中证沪港深创新药指数发起式A(014128), 东财中证沪港深创新药指数发起式C(014129), 天弘恒生沪深港创新药精选50ETF发起联接A(014564), 天弘恒生沪深港创新药精选50ETF发起联接C(014565), 国泰中证沪港深创新药产业ETF(517110), 创新药50(517120), 富国中证沪港深创新药产业ETF(159748)"
399310,国证A50,宽基,"天弘国证A50指数A(010953), 天弘国证A50指数C(010954)"
000859,国企一带一路,价值,"富国中证国企一带一路ETF联接A(007786), 富国中证国企一带一路ETF联接C(007787), 易方达中证国企一带一路ETF联接发起式A(007788), 易方达中证国企一带一路ETF联接发起式C(007789), 添富中证国企一带一路ETF联接A(008907), 添富中证国企一带一路ETF联接C(008908), 易方达中证国企一带一路ETF(515110), 富国中证国企一带一路ETF(515150), 添富中证国企一带一路ETF(515990)"
